array,N,d,wavelength,lambda_factor,kd,kd_max,max_dx_over_lambda2,L,K_max,Mv,alg,SNR_dB,snapshots,K,delta_deg,doas_true,doas_est,rmse_deg,resolved,runtime_ms,runtime_total_ms,alss,alss_mode,alss_tau,alss_coreL
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,64,2,30.0,-15.000;15.000,-15.300;15.300,0.3000000000002139,1,3.660900052636862,754.7177999513224,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,64,2,30.0,-15.000;15.000,-15.200;15.200,0.200000000000216,1,1.7073999624699354,2.296699909493327,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,64,2,30.0,-15.000;15.000,-15.100;15.300,0.22360679775054934,1,1.5697999624535441,2.037600032053888,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,64,2,30.0,-15.000;15.000,-15.300;15.300,0.3000000000002139,1,1.591100008226931,2.123999991454184,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,64,2,30.0,-15.000;15.000,-15.300;-15.100,21.42545215392153,0,1.5530000673606992,2.0311999833211303,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,64,2,30.0,-15.000;15.000,-15.300;-15.100,21.42545215392153,0,1.5160000184550881,1.998600084334612,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,64,2,30.0,-15.000;15.000,15.100;15.300,21.284971223847887,0,1.6771999653428793,2.1563000045716763,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,64,2,30.0,-15.000;15.000,-15.200;-15.000,21.21367483487905,0,2.3566000163555145,3.1715999357402325,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,64,2,30.0,-15.000;15.000,-15.000;15.100,0.07071067811941442,1,1.4370999997481704,1.908999984152615,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,64,2,30.0,-15.000;15.000,15.100;15.300,21.284971223847887,0,1.6670000040903687,2.1015999373048544,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,64,2,30.0,-15.000;15.000,15.200;15.400,21.35649784023665,0,1.5390999615192413,2.003300003707409,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,64,2,30.0,-15.000;15.000,-15.200;15.200,0.200000000000216,1,1.6744000604376197,2.2551000583916903,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,64,2,30.0,-15.000;15.000,-15.400;-15.200,21.49651134486665,0,1.8878999399021268,2.5037999730557203,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,64,2,30.0,-15.000;15.000,-15.000;15.000,8.788928253162696e-13,1,2.4288001004606485,3.041400108486414,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,64,2,30.0,-15.000;15.000,15.100;15.300,21.284971223847887,0,1.802799990400672,2.493100007995963,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,64,2,30.0,-15.000;15.000,-15.100;15.200,0.15811388300889306,1,1.8730999436229467,2.505499986000359,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,64,2,30.0,-15.000;15.000,-15.000;15.100,0.07071067811941442,1,1.436699996702373,1.904300064779818,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,64,2,30.0,-15.000;15.000,14.800;15.000,21.071782079359867,0,1.6252000350505114,2.06389999948442,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,64,2,30.0,-15.000;15.000,15.200;15.400,21.35649784023665,0,1.817599986679852,2.440200070850551,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,64,2,30.0,-15.000;15.000,-15.200;-15.000,21.21367483487905,0,1.8337999936193228,2.433300018310547,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,64,2,30.0,-15.000;15.000,-15.300;15.300,0.3000000000002139,1,2.5698000099509954,3.8493999745696783,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,64,2,30.0,-15.000;15.000,-15.300;-15.100,21.42545215392153,0,2.812999999150634,3.646999946795404,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,64,2,30.0,-15.000;15.000,15.000;15.200,21.213674834880266,0,1.6228000167757273,2.1853999933227897,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,64,2,30.0,-15.000;15.000,-15.200;15.300,0.2549509756800149,1,1.6111000441014767,2.134100068360567,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,64,2,30.0,-15.000;15.000,-15.300;-15.100,21.42545215392153,0,1.5113999834284186,1.990000018849969,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,64,2,30.0,-15.000;15.000,-15.200;15.400,0.3162277660173143,1,2.416800009086728,2.88309995085001,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,64,2,30.0,-15.000;15.000,15.000;15.200,21.213674834880266,0,1.680399989709258,2.2230000467970967,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,64,2,30.0,-15.000;15.000,-15.400;-15.200,21.49651134486665,0,2.332799951545894,2.9899999499320984,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,64,2,30.0,-15.000;15.000,-15.300;-15.100,21.42545215392153,0,2.049400005489588,2.6895999908447266,on,zero,1.0,3
