array,N,d,wavelength,lambda_factor,kd,kd_max,max_dx_over_lambda2,L,K_max,Mv,alg,SNR_dB,snapshots,K,delta_deg,doas_true,doas_est,rmse_deg,resolved,runtime_ms,runtime_total_ms,alss,alss_mode,alss_tau,alss_coreL
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,-5.0,64,2,2.0,-1.000;1.000,-0.600;-0.400,1.029563014098288,0,2.575899939984083,848.8554999930784,off,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,-5.0,64,2,2.0,-1.000;1.000,-0.200;0.000,0.9055385138136463,1,1.6770000802353024,2.2670000325888395,off,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,-5.0,64,2,2.0,-1.000;1.000,-0.300;-0.100,0.921954445729103,0,1.53929996304214,2.1796999499201775,off,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,-5.0,64,2,2.0,-1.000;1.000,0.000;0.200,0.9055385138138345,0,1.2722000246867537,1.778300036676228,off,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,-5.0,64,2,2.0,-1.000;1.000,1.400;1.600,1.749285568454339,0,1.2959999730810523,1.7368999542668462,off,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,-5.0,64,2,2.0,-1.000;1.000,0.200;0.400,0.9486832980507834,0,1.5321000246331096,1.9666999578475952,off,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,-5.0,64,2,2.0,-1.000;1.000,-0.300;-0.100,0.921954445729103,0,2.2270999616011977,2.88009992800653,off,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,-5.0,64,2,2.0,-1.000;1.000,-0.200;0.000,0.9055385138136463,1,1.5915000112727284,2.081699902191758,off,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,-5.0,64,2,2.0,-1.000;1.000,-0.300;-0.100,0.921954445729103,0,1.7648000502958894,2.4995000567287207,off,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,-5.0,64,2,2.0,-1.000;1.000,0.000;0.200,0.9055385138138345,0,1.7552999779582024,2.441600081510842,off,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,-5.0,64,2,2.0,-1.000;1.000,0.600;0.800,1.1401754250996665,0,1.4627999626100063,2.09950003772974,off,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,-5.0,64,2,2.0,-1.000;1.000,-0.200;0.000,0.9055385138136463,1,1.476299948990345,1.915200031362474,off,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,-5.0,64,2,2.0,-1.000;1.000,0.300;0.500,0.9848857801799578,0,2.2914999863132834,3.4935999428853393,off,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,-5.0,64,2,2.0,-1.000;1.000,-0.100;0.100,0.8999999999999986,1,1.6410999232903123,2.1302999230101705,off,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,-5.0,64,2,2.0,-1.000;1.000,-0.800;-0.600,1.1401754250986196,0,1.5499000437557697,2.187300007790327,off,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,-5.0,64,2,2.0,-1.000;1.000,-0.400;-0.200,0.9486832980502442,0,1.4256000285968184,1.8591000698506832,off,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,-5.0,64,2,2.0,-1.000;1.000,-0.100;0.100,0.8999999999999986,1,1.5024000313133001,2.101799938827753,off,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,-5.0,64,2,2.0,-1.000;1.000,-0.200;0.000,0.9055385138136463,1,1.405700109899044,1.8282999517396092,off,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,-5.0,64,2,2.0,-1.000;1.000,0.500;0.700,1.0816653826396734,0,2.115400042384863,2.7097000274807215,off,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,-5.0,64,2,2.0,-1.000;1.000,-0.700;-0.500,1.0816653826387275,0,2.4712999584153295,3.352399915456772,off,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,-5.0,64,2,2.0,-1.000;1.000,0.200;0.400,0.9486832980507834,0,1.6159999649971724,2.1161999320611358,off,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,-5.0,64,2,2.0,-1.000;1.000,-0.500;-0.300,0.9848857801792652,0,1.7697999719530344,2.3796999594196677,off,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,-5.0,64,2,2.0,-1.000;1.000,0.200;0.400,0.9486832980507834,0,1.4986000023782253,2.10379995405674,off,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,-5.0,64,2,2.0,-1.000;1.000,0.100;0.300,0.9219544457294729,0,1.4939999673515558,1.9311000360175967,off,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,-5.0,64,2,2.0,-1.000;1.000,-0.500;-0.300,0.9848857801792652,0,1.8078000284731388,2.475299988873303,off,zero,1.0,3
