array,N,d,wavelength,lambda_factor,kd,kd_max,max_dx_over_lambda2,L,K_max,Mv,alg,SNR_dB,snapshots,K,delta_deg,doas_true,doas_est,rmse_deg,resolved,runtime_ms,runtime_total_ms,alss,alss_mode,alss_tau,alss_coreL
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,5.0,64,2,2.0,-1.000;1.000,-0.200;0.000,0.9055385138136463,1,1.0591000318527222,389.7633000742644,on,ar1,0.7,2
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,5.0,64,2,2.0,-1.000;1.000,-0.100;0.100,0.8999999999999986,1,1.5549000818282366,1.802499988116324,on,ar1,0.7,2
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,5.0,64,2,2.0,-1.000;1.000,-0.200;0.000,0.9055385138136463,1,1.3108999701216817,1.4860000228509307,on,ar1,0.7,2
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,5.0,64,2,2.0,-1.000;1.000,0.100;0.300,0.9219544457294729,0,1.0137999197468162,1.240599900484085,on,ar1,0.7,2
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,5.0,64,2,2.0,-1.000;1.000,0.100;0.300,0.9219544457294729,0,0.9028000058606267,1.080899965018034,on,ar1,0.7,2
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,5.0,64,2,2.0,-1.000;1.000,-0.100;0.100,0.8999999999999986,1,0.6576000014320016,0.8913999190554023,on,ar1,0.7,2
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,5.0,64,2,2.0,-1.000;1.000,-0.200;0.000,0.9055385138136463,1,0.6210000719875097,0.8084999863058329,on,ar1,0.7,2
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,5.0,64,2,2.0,-1.000;1.000,0.000;0.200,0.9055385138138345,0,0.6476999260485172,0.8105000015348196,on,ar1,0.7,2
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,5.0,64,2,2.0,-1.000;1.000,-0.100;0.100,0.8999999999999986,1,0.7705000462010503,1.1220000451430678,on,ar1,0.7,2
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,5.0,64,2,2.0,-1.000;1.000,0.000;0.200,0.9055385138138345,0,0.6418999982997775,0.8049999596551061,on,ar1,0.7,2
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,5.0,64,2,2.0,-1.000;1.000,-0.200;0.000,0.9055385138136463,1,1.1027000145986676,1.5420999843627214,on,ar1,0.7,2
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,5.0,64,2,2.0,-1.000;1.000,-0.200;0.000,0.9055385138136463,1,0.6047000642865896,0.8423000108450651,on,ar1,0.7,2
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,5.0,64,2,2.0,-1.000;1.000,0.000;0.200,0.9055385138138345,0,0.6722999969497323,0.833700061775744,on,ar1,0.7,2
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,5.0,64,2,2.0,-1.000;1.000,0.000;0.200,0.9055385138138345,0,1.0929000563919544,1.4271000400185585,on,ar1,0.7,2
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,5.0,64,2,2.0,-1.000;1.000,-0.400;-0.200,0.9486832980502442,0,0.7351998938247561,1.0132999159395695,on,ar1,0.7,2
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,5.0,64,2,2.0,-1.000;1.000,-0.100;0.100,0.8999999999999986,1,0.5440999520942569,0.7086999248713255,on,ar1,0.7,2
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,5.0,64,2,2.0,-1.000;1.000,0.000;0.200,0.9055385138138345,0,0.647400040179491,0.8072999771684408,on,ar1,0.7,2
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,5.0,64,2,2.0,-1.000;1.000,0.000;0.200,0.9055385138138345,0,1.0258000111207366,1.3050000416114926,on,ar1,0.7,2
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,5.0,64,2,2.0,-1.000;1.000,-0.200;0.000,0.9055385138136463,1,0.6491999374702573,0.813300022855401,on,ar1,0.7,2
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,5.0,64,2,2.0,-1.000;1.000,-0.200;0.000,0.9055385138136463,1,1.101900008507073,1.3814999256283045,on,ar1,0.7,2
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,5.0,64,2,2.0,-1.000;1.000,-0.100;0.100,0.8999999999999986,1,0.5753999575972557,0.7489999989047647,on,ar1,0.7,2
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,5.0,64,2,2.0,-1.000;1.000,-0.200;0.000,0.9055385138136463,1,1.1391000589355826,1.3059000484645367,on,ar1,0.7,2
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,5.0,64,2,2.0,-1.000;1.000,-0.100;0.100,0.8999999999999986,1,0.5635999841615558,0.7320999866351485,on,ar1,0.7,2
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,5.0,64,2,2.0,-1.000;1.000,-0.100;0.100,0.8999999999999986,1,0.696200062520802,0.8525000885128975,on,ar1,0.7,2
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,5.0,64,2,2.0,-1.000;1.000,-0.200;0.000,0.9055385138136463,1,0.990999978967011,1.2832999927923083,on,ar1,0.7,2
