array,N,d,wavelength,lambda_factor,kd,kd_max,max_dx_over_lambda2,L,K_max,Mv,alg,SNR_dB,snapshots,K,delta_deg,doas_true,doas_est,rmse_deg,resolved,runtime_ms,runtime_total_ms,alss,alss_mode,alss_tau,alss_coreL
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-0.100;0.100,0.8999999999999986,1,1.0615999344736338,344.70569994300604,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,0.000;0.200,0.9055385138138345,0,0.7684999145567417,1.0537999914959073,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-0.200;0.000,0.9055385138136463,1,1.164300017990172,1.5774000203236938,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,0.100;0.300,0.9219544457294729,0,1.4642999740317464,2.091499976813793,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,0.000;0.200,0.9055385138138345,0,1.3056000461801887,1.8689000280573964,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-0.100;0.100,0.8999999999999986,1,1.12139992415905,1.6349999932572246,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,0.000;0.200,0.9055385138138345,0,1.0615000501275063,1.4865000266581774,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-0.100;0.100,0.8999999999999986,1,0.8604000322520733,1.2375999940559268,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-0.100;0.100,0.8999999999999986,1,0.7667000172659755,1.0921000503003597,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-0.200;0.000,0.9055385138136463,1,0.6533999694511294,0.9293999755755067,on,zero,1.0,3
