array,N,d,wavelength,lambda_factor,kd,kd_max,max_dx_over_lambda2,L,K_max,Mv,alg,SNR_dB,snapshots,K,delta_deg,doas_true,doas_est,rmse_deg,resolved,runtime_ms,runtime_total_ms,alss,alss_mode,alss_tau,alss_coreL
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,-0.200;0.000,0.9055385138136463,1,1.1757999891415238,342.4746999517083,off,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,0.000;0.200,0.9055385138138345,0,0.9833000367507339,1.3741999864578247,off,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,-0.100;0.100,0.8999999999999986,1,0.7047000108286738,0.9891999652609229,off,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,0.100;0.300,0.9219544457294729,0,0.7509998977184296,1.3261999702081084,off,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,0.600;0.800,1.1401754250996665,0,0.6571999983862042,0.903200008906424,off,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,0.000;0.200,0.9055385138138345,0,0.6059999577701092,0.7928999839350581,off,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,-0.100;0.100,0.8999999999999986,1,0.982999918051064,1.2981999898329377,off,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,-0.200;0.000,0.9055385138136463,1,0.6347999442368746,0.798500026576221,off,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,-0.100;0.100,0.8999999999999986,1,0.628399895504117,0.8304999209940434,off,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,-0.100;0.100,0.8999999999999986,1,0.9274999611079693,1.2694000033661723,off,zero,1.0,3
