array,N,d,wavelength,lambda_factor,kd,kd_max,max_dx_over_lambda2,L,K_max,Mv,alg,SNR_dB,snapshots,K,delta_deg,doas_true,doas_est,rmse_deg,resolved,runtime_ms,runtime_total_ms,alss,alss_mode,alss_tau,alss_coreL
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,-0.200;0.000,0.9055385138136463,1,1.2595999287441373,358.6866999976337,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,0.000;0.200,0.9055385138138345,0,0.7471999851986766,1.0266000172123313,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,-0.100;0.100,0.8999999999999986,1,0.6408999906852841,0.857899896800518,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,0.100;0.300,0.9219544457294729,0,0.6847999757155776,0.8765999227762222,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,0.600;0.800,1.1401754250996665,0,0.9741999674588442,1.2802999699488282,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,0.000;0.200,0.9055385138138345,0,0.77479996252805,0.9713999461382627,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,-0.100;0.100,0.8999999999999986,1,0.9395000524818897,1.2287000427022576,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,-0.100;0.100,0.8999999999999986,1,0.673100003041327,0.8545999880880117,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,-0.100;0.100,0.8999999999999986,1,0.7952000014483929,1.0613000486046076,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,-0.100;0.100,0.8999999999999986,1,0.6198000628501177,0.8027000585570931,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,0.000;0.200,0.9055385138138345,0,0.6696999771520495,0.8750000270083547,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,-0.200;0.000,0.9055385138136463,1,0.7177999941632152,0.8994000963866711,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,0.200;0.400,0.9486832980507834,0,0.6551999831572175,0.9400000562891364,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,0.100;0.300,0.9219544457294729,0,0.7405999349430203,0.9325999999418855,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,-0.600;-0.400,1.029563014098288,0,0.9978000307455659,1.2898000422865152,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,-0.300;-0.100,0.921954445729103,0,1.0129999136552215,1.2919999426230788,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,-0.200;0.000,0.9055385138136463,1,0.7817000150680542,0.9966000216081738,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,-0.200;0.000,0.9055385138136463,1,0.6920000305399299,0.9469999931752682,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,0.100;0.300,0.9219544457294729,0,0.6850999779999256,0.8866999996826053,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,-0.300;-0.100,0.921954445729103,0,0.6929000373929739,0.8749000262469053,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,-0.100;0.100,0.8999999999999986,1,1.038299989886582,1.3303000014275312,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,-0.400;-0.200,0.9486832980502442,0,0.6053999532014132,0.7827000226825476,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,0.100;0.300,0.9219544457294729,0,0.8442000253126025,1.0913999285548925,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,-0.200;0.000,0.9055385138136463,1,1.0018000612035394,1.295599970035255,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,-0.200;0.000,0.9055385138136463,1,0.7272000657394528,0.924200052395463,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,-0.100;0.100,0.8999999999999986,1,1.01650005672127,1.297399983741343,on,zero,1.0,3
Z5(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,10,5,10,CoarrayMUSIC,0.0,64,2,2.0,-1.000;1.000,-0.100;0.100,0.8999999999999986,1,0.8461999241262674,1.1378999333828688,on,zero,1.0,3
