array,N,d,alg,SNR_dB,snapshots,K,doas_true,doas_est,rmse_deg,resolved,runtime_ms,runtime_total_ms
Z4(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,-1.100;0.900,0.09999999999999432,1,64.27139998413622,64.5782999927178
Z4(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,-1.000;1.300,0.21213203435596728,1,45.42420001234859,45.748300035484135
Z4(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,-0.900;1.100,0.10000000000000142,1,44.582300004549325,45.717199973296374
Z4(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,-1.000;0.900,0.07071067811865074,1,45.77809997135773,45.89620005572215
Z4(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,-1.100;1.000,0.07071067811865074,1,42.20899997744709,42.35800000606105
Z4(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,-1.100;1.100,0.09999999999999788,1,48.173699993640184,48.30919997766614
Z4(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,-1.200;1.000,0.14142135623730648,1,46.97440000018105,47.09450004156679
Z4(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,-0.800;1.000,0.14142135623731153,1,43.60350000206381,43.71940001146868
Z4(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,-0.800;1.100,0.15811388300842122,1,42.513799970038235,42.639999999664724
Z4(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,-1.000;1.100,0.07071067811865576,1,45.41239998070523,45.53959995973855
ULA(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,-45.200;-0.600,31.27459032505462,0,68.22890002513304,68.38489999063313
ULA(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,-34.200;0.300,23.48116266286659,0,52.901600021868944,53.0542999622412
ULA(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,0.400;24.200,16.434719346554115,0,52.446699992287904,52.595999964978546
ULA(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,-16.000;-0.300,10.646360880601408,0,53.16630000015721,53.30250004772097
ULA(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,-37.400;-0.200,25.752669764511793,0,50.91189994709566,51.07960000168532
ULA(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,-40.700;0.300,28.07650263120391,0,47.63470002217218,47.752899990882725
ULA(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,-30.500;0.000,20.871631464741803,0,45.59449997032061,45.71500001475215
ULA(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,-0.500;47.600,32.95307269436343,0,45.287400018423796,45.42880004737526
ULA(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,-31.100;-0.500,21.31032613546775,0,45.83939997246489,45.95930001232773
ULA(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,-0.400;36.100,24.823073943409995,0,45.214799989480525,47.012099996209145
