array,N,d,alg,SNR_dB,snapshots,K,doas_true,doas_est,rmse_deg,resolved,runtime_ms,runtime_total_ms
Z4(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,-26.100;0.000,17.762460415156458,0,15.09439997607842,15.19959996221587
Z4(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,-0.500;45.800,31.68035668991119,0,66.13789999391884,66.32209999952465
Z4(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,1.100;46.200,31.995702836474777,0,78.68129998678342,78.78860004711896
Z4(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,0.000;33.200,22.77981562699751,0,65.69879996823147,65.77909999759868
Z4(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,-0.500;45.200,31.256119400846934,0,61.82860000990331,62.01839999994263
Z4(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,-39.300;-0.200,27.095479327740264,0,81.60650002537295,81.79220004240051
Z4(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,-47.200;0.300,32.672082884321895,0,65.84090000251308,66.14299997454509
Z4(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,0.300;38.900,26.81510768205118,0,70.76919998507947,71.05749996844679
Z4(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,0.000;19.900,13.383011619213372,0,46.90900002606213,47.02160001033917
Z4(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,-40.300;-1.400,29.204879729250727,0,15.516299987211823,15.568999981041998
ULA(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,-0.900;36.800,25.314521524216104,0,16.92439999897033,17.006800044327974
ULA(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,-20.900;0.600,14.074267298868527,0,68.44929995713755,68.6066999915056
ULA(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,0.600;56.300,39.1193686043116,0,52.962000016123056,53.07519994676113
ULA(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,-33.200;-0.500,22.79352978369081,0,54.39410003600642,54.519199999049306
ULA(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,-0.300;52.500,36.41936298179857,0,60.219099977985024,60.35039998823777
ULA(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,0.600;44.600,30.85060777359176,0,65.71049999911338,65.82660001004115
ULA(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,-18.900;0.000,12.676947582127173,0,50.877299974672496,50.99250003695488
ULA(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,-32.500;-0.900,22.314345161801185,0,52.62100003892556,52.73609998403117
ULA(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,-0.800;38.000,26.163333120992057,0,67.86619999911636,68.01930000074208
ULA(N=7),7,1.0,MUSIC,0.0,32,2,-1.000;1.000,-0.400;21.300,14.360536201688301,0,54.107299947645515,54.234999988693744
