array,N,d,wavelength,lambda_factor,kd,kd_max,max_dx_over_lambda2,L,K_max,Mv,alg,SNR_dB,snapshots,K,delta_deg,doas_true,doas_est,rmse_deg,resolved,runtime_ms,runtime_total_ms
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,512,2,2.0,-1.000;1.000,12.749;36.612,26.9931669123978,0,1.0309000499546528,453.1373000354506
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,512,2,2.0,-1.000;1.000,0.091;0.091,1.0040897719703301,0,0.6524999625980854,1.0637000086717308
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,512,2,2.0,-1.000;1.000,0.017;0.017,1.0001424676018575,0,1.387899974361062,1.6878999886102974
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,512,2,2.0,-1.000;1.000,36.190;36.190,36.204076271995824,0,0.6957000005058944,1.0158999939449131
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,512,2,2.0,-1.000;1.000,12.710;23.349,18.539288828278192,0,0.5701999762095511,0.8627999923191965
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,512,2,2.0,-1.000;1.000,12.730;36.591,26.974108237054402,0,0.6434000097215176,0.928299967199564
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,512,2,2.0,-1.000;1.000,0.075;0.075,1.0028079223310944,0,0.5636999849230051,0.8861999958753586
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,512,2,2.0,-1.000;1.000,0.056;0.056,1.0015817786817207,0,0.5623000324703753,0.8465000428259373
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,512,2,2.0,-1.000;1.000,12.783;23.459,19.197162096129755,0,0.5363000091165304,0.8099999977275729
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,512,2,2.0,-1.000;1.000,36.507;36.507,36.520914647630654,0,0.5390000296756625,0.7991999736987054
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,512,2,2.0,-1.000;1.000,0.013;0.013,1.000088464706902,0,0.5412000464275479,0.8194000110961497
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,512,2,2.0,-1.000;1.000,12.710;36.238,26.73626958871123,0,0.5362000083550811,0.8010999881662428
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,512,2,2.0,-1.000;1.000,0.008;0.008,1.000032196197749,0,0.547399977222085,0.804700015578419
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,512,2,2.0,-1.000;1.000,0.021;0.021,1.000210856426165,0,0.5296000163070858,0.799100031144917
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,512,2,2.0,-1.000;1.000,12.719;23.443,19.167529481576295,0,0.9634000016376376,1.2218999909237027
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,512,2,2.0,-1.000;1.000,12.748;23.459,18.61978605490671,0,0.7334999972954392,1.4268000377342105
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,512,2,2.0,-1.000;1.000,0.064;0.064,1.0020525645910074,0,0.5606000195257366,0.8704999927431345
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,512,2,2.0,-1.000;1.000,37.157;37.157,37.170202883113234,0,0.5524000152945518,0.8338000043295324
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,512,2,2.0,-1.000;1.000,12.781;23.522,18.66991701585588,0,1.470999966841191,1.7451000167056918
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,512,2,2.0,-1.000;1.000,35.919;35.919,35.93255148639147,0,0.6695000338368118,1.0088999988511205
