array,N,d,wavelength,lambda_factor,kd,kd_max,max_dx_over_lambda2,L,K_max,Mv,alg,SNR_dB,snapshots,K,delta_deg,doas_true,doas_est,rmse_deg,resolved,runtime_ms,runtime_total_ms
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-36.088;-12.626,27.483227740050086,0,50.1133999787271,513.2247000001371
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-36.108;-0.031,24.835860399748356,0,1.5809000469744205,2.3681000457145274
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-39.173;-12.729,29.592809018984504,0,1.2517999857664108,1.7891000024974346
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-37.202;-0.107,25.610495402983844,0,1.0309999925084412,1.4570000348612666
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-35.773;-0.010,24.598600499994312,0,0.9188000112771988,1.2852000072598457
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-12.807;-0.026,8.380046315994939,0,0.8091999916359782,1.156899961642921
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-36.424;-0.017,25.05893707153418,0,0.7441999623551965,1.019699964672327
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-37.018;-0.062,25.479969482314605,0,0.6699999794363976,0.9252999443560839
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-36.261;-12.648,27.60459033827726,0,0.6193000008352101,0.8488000021316111
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-35.324;-12.655,26.120699031339313,0,0.6857000407762825,0.896700017619878
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-37.873;-12.683,28.702149761438836,0,0.5447999574244022,0.7653000066056848
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-23.501;-12.772,18.654288215371164,0,0.6182999932207167,0.8216999704018235
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-36.313;-12.761,27.6640231138545,0,1.251600042451173,2.2400999441742897
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-12.831;-0.054,8.39915085262761,0,0.5727999960072339,0.819500011857599
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-41.368;-12.780,31.095074093833208,0,0.5554999806918204,0.7760999724268913
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-36.408;-0.045,25.047892323825423,0,0.6058999570086598,0.8136999676935375
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-12.796;-0.017,8.371613271762739,0,0.5896000075154006,0.8029000018723309
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-23.351;-12.749,19.117988329340903,0,0.5515000084415078,0.7610999746248126
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-36.954;-12.715,28.086619548040705,0,0.5474999779835343,0.7419000030495226
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-37.510;-12.738,28.467798154473037,0,0.5437000072561204,0.7443000213243067
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-35.103;-0.004,24.12503881421563,0,0.5448000156320632,0.7431000121869147
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-36.676;-12.719,27.899741720729256,0,0.5546000320464373,0.7543999818153679
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-36.513;-0.065,25.1227811954647,0,0.5395999760366976,0.7389999809674919
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-12.855;-0.071,8.41715126645742,0,0.5363000091165304,0.7287999615073204
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-36.252;-12.727,27.615331153841723,0,0.5388000281527638,0.742600008379668
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-36.585;-12.651,26.95019991184521,0,0.5374000174924731,0.7344000041484833
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-23.447;-12.725,19.171866760234234,0,0.5934999790042639,0.7885000086389482
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-23.486;-12.779,19.213409623626386,0,0.5548999761231244,0.7686999742873013
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-36.106;-12.741,27.520029411956543,0,0.541499990504235,0.7392000406980515
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-36.628;-12.645,26.9771481231556,0,0.5383000243455172,0.743500015232712
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-23.667;-12.797,19.334526353058475,0,1.0201000259257853,1.2107000220566988
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-36.499;-12.745,27.785807135585323,0,0.6071999669075012,1.1326000094413757
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-36.473;-12.699,27.75874016441863,0,0.5800999933853745,0.8057000231929123
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-36.563;-12.717,27.823334133889215,0,0.5372000159695745,0.7414000574499369
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-23.480;-12.758,19.202935117618694,0,0.5881999968551099,0.7945999968796968
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-23.505;-12.780,18.659590345587908,0,0.5787999834865332,0.8013999904505908
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-12.797;-0.004,8.372155399234817,0,0.5318999756127596,0.7377999718300998
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-36.513;-12.671,27.779954171737913,0,0.5595000111497939,0.7580000092275441
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-12.825;-0.038,8.393973473837574,0,0.5422999965958297,0.7475999882444739
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-36.692;-12.693,27.904893284797872,0,0.5355000030249357,0.7279000128619373
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-23.306;-12.758,19.09237704034393,0,0.5508000031113625,0.7560999947600067
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-36.197;-12.715,27.575717630602835,0,0.5302999634295702,0.7295999675989151
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-36.535;-12.686,27.797583745255043,0,0.5501999985426664,0.7466999813914299
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-36.889;-0.021,25.387377878585017,0,0.539999979082495,0.7456999737769365
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-36.205;-12.691,27.57610903081229,0,0.533199985511601,0.7291999645531178
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-35.541;-12.686,27.127266917219988,0,0.6025999900884926,0.8512000204063952
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-23.316;-12.651,19.06559425961065,0,0.5326999817043543,0.7276000105775893
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-34.439;-0.029,23.656309096961078,0,0.546199968084693,0.7514999597333372
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-23.461;-12.765,19.193028970702365,0,0.5608999636024237,0.763299991376698
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,-36.952;-0.018,25.431865825548613,0,0.818900007288903,1.0173000046052039
