array,N,d,wavelength,lambda_factor,kd,kd_max,max_dx_over_lambda2,L,K_max,Mv,alg,SNR_dB,snapshots,K,delta_deg,doas_true,doas_est,rmse_deg,resolved,runtime_ms,runtime_total_ms
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,7,SpatialMUSIC,10.0,256,2,2.0,-1.000;1.000,-0.900;1.000,0.07071067811924862,1,10.223500023130327,449.74830001592636
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,0.057;0.057,1.0016298445768201,0,6.002799957059324,455.89029998518527
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,7,SpatialMUSIC,10.0,256,2,2.0,-1.000;1.000,-1.000;1.000,8.527696984786813e-13,1,9.337700030300766,9.666700032539666
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,12.754;23.452,18.618334545805407,0,0.7439000182785094,10.512900014873594
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,7,SpatialMUSIC,10.0,256,2,2.0,-1.000;1.000,-1.000;1.000,8.527696984786813e-13,1,11.460700014140457,11.763400048948824
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,0.019;0.019,1.0001759511869373,0,0.7496000034734607,12.5906000030227
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,7,SpatialMUSIC,10.0,256,2,2.0,-1.000;1.000,-1.000;0.900,0.0707106781180428,1,9.632400004193187,9.915200003888458
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,36.348;36.348,36.36224000081946,0,0.700299977324903,10.715799988247454
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,7,SpatialMUSIC,10.0,256,2,2.0,-1.000;1.000,-1.000;0.900,0.0707106781180428,1,11.982400028500706,12.26480002515018
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,12.760;36.983,27.240907705937378,0,1.0079999919980764,13.39969999389723
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,7,SpatialMUSIC,10.0,256,2,2.0,-1.000;1.000,-0.900;0.900,0.09999999999998721,1,9.174500009976327,9.555599943269044
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,12,CoarrayMUSIC,10.0,256,2,2.0,-1.000;1.000,35.189;35.189,35.20294560816317,0,1.1229999945499003,10.815499990712851
