array,N,d,wavelength,lambda_factor,kd,kd_max,max_dx_over_lambda2,L,K_max,Mv,alg,SNR_dB,snapshots,K,delta_deg,doas_true,doas_est,rmse_deg,resolved,runtime_ms,runtime_total_ms
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,7,SpatialMUSIC,0.0,32,2,1.0,-0.500;0.500,-0.200;0.000,0.41231056256155824,1,10.966999980155379,446.48489996325225
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,1,CoarrayMUSIC,0.0,32,2,1.0,-0.500;0.500,-59.900;-59.700,59.8030099576936,0,0.28039998142048717,446.90019998233765
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,7,SpatialMUSIC,0.0,32,2,2.0,-1.000;1.000,-0.500;-0.300,0.9848857801792652,0,9.761599998455495,9.986200020648539
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,1,CoarrayMUSIC,0.0,32,2,2.0,-1.000;1.000,-59.900;-59.700,59.81011620119125,0,0.2655999851413071,10.362700035329908
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,7,SpatialMUSIC,0.0,32,2,3.0,-1.500;1.500,1.500;1.700,2.126029162547588,0,8.004000002983958,8.220699965022504
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,1,CoarrayMUSIC,0.0,32,2,3.0,-1.500;1.500,-59.900;-59.700,59.82140085287204,0,0.15049998182803392,8.424699946772307
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,7,SpatialMUSIC,0.0,32,2,1.0,-0.500;0.500,0.000;0.200,0.41231056256197185,1,16.699599975254387,16.85630000429228
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,1,CoarrayMUSIC,0.0,32,2,1.0,-0.500;0.500,-59.900;-59.700,59.8030099576936,0,0.5464000278152525,17.63400004711002
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,7,SpatialMUSIC,0.0,32,2,2.0,-1.000;1.000,-0.600;-0.400,1.029563014098288,0,13.832900032866746,14.495700015686452
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,1,CoarrayMUSIC,0.0,32,2,2.0,-1.000;1.000,-59.900;-59.700,59.81011620119125,0,0.1954999752342701,14.782199985347688
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,7,SpatialMUSIC,0.0,32,2,3.0,-1.500;1.500,-1.200;-1.000,1.7804493814759674,0,8.791200001724064,8.97570000961423
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,1,CoarrayMUSIC,0.0,32,2,3.0,-1.500;1.500,-59.900;-59.700,59.82140085287204,0,0.18929998623207211,9.253200027160347
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,7,SpatialMUSIC,0.0,32,2,1.0,-0.500;0.500,-0.200;0.000,0.41231056256155824,1,7.990500016603619,8.169899985659868
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,1,CoarrayMUSIC,0.0,32,2,1.0,-0.500;0.500,-59.900;-59.700,59.8030099576936,0,0.19069999689236283,8.439400000497699
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,7,SpatialMUSIC,0.0,32,2,2.0,-1.000;1.000,0.300;0.500,0.9848857801799578,0,10.304900002665818,10.498399962671101
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,1,CoarrayMUSIC,0.0,32,2,2.0,-1.000;1.000,-59.900;-59.700,59.81011620119125,0,0.23609999334439635,10.84529998479411
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,7,SpatialMUSIC,0.0,32,2,3.0,-1.500;1.500,0.700;0.900,1.6124515496601373,0,7.894900045357645,8.10300000011921
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,1,CoarrayMUSIC,0.0,32,2,3.0,-1.500;1.500,-59.900;-59.700,59.82140085287204,0,0.17229997320100665,8.341899956576526
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,7,SpatialMUSIC,0.0,32,2,1.0,-0.500;0.500,-0.400;-0.200,0.4999999999994898,1,8.703500032424927,8.890900004189461
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,1,CoarrayMUSIC,0.0,32,2,1.0,-0.500;0.500,-59.900;-59.700,59.8030099576936,0,0.22950000129640102,9.239499981049448
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,7,SpatialMUSIC,0.0,32,2,2.0,-1.000;1.000,-0.500;-0.300,0.9848857801792652,0,7.9329999862238765,8.146200038027018
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,1,CoarrayMUSIC,0.0,32,2,2.0,-1.000;1.000,-59.900;-59.700,59.81011620119125,0,0.15330000314861536,8.35180003196001
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,7,SpatialMUSIC,0.0,32,2,3.0,-1.500;1.500,0.900;1.100,1.720465053409028,0,9.366400016006082,9.521600033622235
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,1,CoarrayMUSIC,0.0,32,2,3.0,-1.500;1.500,-59.900;-59.700,59.82140085287204,0,0.20290003158152103,9.817000012844801
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,7,SpatialMUSIC,0.0,32,2,1.0,-0.500;0.500,0.200;0.400,0.500000000000513,1,8.117999997921288,8.31030000699684
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,1,CoarrayMUSIC,0.0,32,2,1.0,-0.500;0.500,-59.900;-59.700,59.8030099576936,0,0.19950000569224358,8.590899989940226
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,7,SpatialMUSIC,0.0,32,2,2.0,-1.000;1.000,-0.300;-0.100,0.921954445729103,0,8.654600009322166,8.963300031609833
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,1,CoarrayMUSIC,0.0,32,2,2.0,-1.000;1.000,-59.900;-59.700,59.81011620119125,0,0.20320003386586905,9.25260002259165
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,7,SpatialMUSIC,0.0,32,2,3.0,-1.500;1.500,1.700;1.900,2.2803508501989684,0,8.70010000653565,8.884300012141466
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,1,CoarrayMUSIC,0.0,32,2,3.0,-1.500;1.500,-59.900;-59.700,59.82140085287204,0,0.2231999533250928,9.191099961753935
Z4(N=7),7,1.0,2.0,2.0,3.141592653589793,15.707963267948966,5.0,12,6,7,SpatialMUSIC,0.0,32,2,1.0,-0.500;0.500,0.000;0.200,0.41231056256197185,1,7.981100003235042,8.176300034392625
